seconds_since_page_load,failed_attempts_past_hour,unique_cards_per_ip,is_datacenter_ip,accounts_per_device_24h
2.79,19,14,1,3
83.71,0,1,0,1
177.3,0,1,0,1
298.86,0,2,0,1
196.05,1,1,0,1
201.94,2,1,0,1
193.63,0,1,0,1
27.86,0,1,0,1
138.85,1,1,0,1
79.16,0,1,0,1
219.92,0,1,0,1
131.82,0,1,0,1
1.3,11,11,1,10
26.61,0,1,0,1
1.91,29,3,0,5
56.89,1,1,0,1
288.95,0,1,0,1
296.91,0,1,0,1
118.63,0,1,0,1
200.7,1,1,0,1
25.42,0,1,0,1
250.95,0,1,0,2
216.7,0,1,0,1
200.05,1,1,0,1
131.37,0,1,0,1
282.61,0,1,0,1
70.03,0,1,0,1
1.0,5,11,1,6
264.01,1,1,0,1
163.76,0,1,0,1
264.85,1,1,0,1
176.56,0,1,0,1
223.88,0,1,0,1
2.98,8,10,1,5
84.18,1,1,0,1
171.37,0,1,0,1
123.77,0,1,0,1
152.67,0,1,0,1
143.47,0,1,0,1
163.08,0,1,0,1
191.72,0,1,0,1
149.12,1,1,0,1
163.19,2,1,0,1
79.42,0,1,0,1
144.44,0,1,0,1
253.64,0,1,0,1
32.45,0,1,0,1
192.53,0,1,0,1
25.94,0,1,0,1
203.15,0,1,0,1
78.51,0,1,0,1
260.06,2,1,0,1
57.94,0,1,0,1
55.49,0,1,0,1
148.26,0,1,0,1
237.28,0,1,0,1
135.44,0,1,0,1
51.44,1,1,0,1
139.23,0,2,0,2
213.39,0,1,0,1
1.3,20,10,0,5
239.86,1,1,0,1
226.53,0,1,0,1
287.38,0,1,0,1
5.5,1,1,0,1
145.21,0,1,0,1
290.85,1,1,0,1
129.47,0,1,0,1
2.61,5,13,1,10
166.11,0,1,0,1
73.29,0,1,0,1
150.84,0,1,0,1
203.47,0,1,0,1
83.76,1,1,0,1
16.76,0,1,0,1
167.35,0,2,0,1
197.27,0,1,0,1
1.46,25,10,1,5
217.33,0,1,0,1
200.95,0,1,0,1
168.95,0,1,0,1
221.47,1,1,0,1
159.16,0,1,0,1
271.66,0,1,0,1
33.59,0,1,0,1
21.86,0,1,0,1
2.61,13,15,1,9
0.36,26,12,1,3
36.58,0,1,0,1
1.55,27,7,1,7
225.05,0,1,0,1
199.83,0,1,0,1
222.26,0,1,0,1
0.36,13,8,0,9
1.46,18,8,1,4
246.69,1,1,0,1
26.85,0,1,0,1
192.5,0,1,0,1
53.95,0,1,0,1
93.04,0,1,0,1
127.65,0,1,0,1
131.17,0,1,0,1
26.4,0,2,0,2
229.94,0,1,0,1
299.97,0,1,0,1
124.88,0,1,0,1
3.0,26,7,1,5
78.61,0,1,0,1
212.85,0,1,0,1
31.82,0,1,0,1
122.82,0,2,0,1
147.84,0,2,0,1
2.02,17,15,1,10
194.24,0,2,0,1
1.09,30,11,0,3
116.8,2,1,0,1
211.85,0,1,0,1
5.17,0,1,0,1
263.53,0,1,0,1
290.77,0,1,0,1
61.11,0,1,0,1
220.08,0,2,0,1
64.34,0,2,0,1
19.83,0,1,0,1
116.8,0,1,0,1
258.59,0,1,0,1
242.72,0,1,0,1
255.01,0,1,0,1
1.21,24,11,1,5
68.2,0,1,0,1
145.03,0,1,0,1
11.01,0,1,0,1
88.48,0,1,0,1
267.97,0,1,0,1
238.66,0,1,0,1
180.54,0,1,0,1
192.95,0,1,0,1
128.67,0,1,0,1
98.06,0,1,0,1
171.04,0,2,0,1
35.06,0,1,0,1
124.27,0,1,0,1
207.78,1,1,0,1
5.79,0,1,0,1
97.03,0,2,0,1
261.2,0,1,0,1
170.6,0,1,0,1
239.83,0,1,0,1
101.84,1,2,0,1
197.92,0,1,0,1
117.21,0,1,0,1
274.79,0,1,0,1
104.74,0,1,0,1
77.23,0,1,0,1
129.83,0,1,0,1
12.83,0,1,0,1
2.99,18,13,1,4
54.5,0,1,0,1
292.42,0,1,0,1
250.02,0,1,0,1
8.39,0,1,0,1
70.62,0,1,0,1
208.73,0,1,0,1
229.56,0,1,0,1
264.22,0,1,0,1
249.67,0,1,0,1
13.0,0,1,0,1
2.92,24,15,0,5
230.51,0,1,0,1
223.33,1,1,0,1
90.14,0,1,0,1
282.41,0,1,0,1
256.77,1,1,0,1
12.31,0,1,0,1
28.54,0,1,0,1
127.26,0,1,0,1
267.63,0,1,0,1
93.78,0,1,0,1
265.08,0,1,0,1
65.26,0,1,0,1
283.09,0,1,0,1
78.69,1,1,0,1
241.66,1,1,0,1
164.34,0,1,0,1
123.71,0,1,0,1
40.71,2,1,0,1
255.62,0,1,0,2
239.63,0,1,0,1
282.07,0,2,0,1
133.57,0,1,0,1
215.93,0,1,0,1
230.92,0,1,0,1
134.24,0,1,0,1
188.57,0,1,0,1
297.06,0,1,0,1
67.58,0,1,0,1
30.26,0,1,0,1
48.69,0,1,0,1
2.59,15,9,1,7
129.95,0,1,0,1
